"Fecha";"Mercado";"Producto";"Precio"
"07-02-06";"Buenos Aires";"Maiz";"U$S 82.95"
"14-02-06";"Buenos Aires";"Maiz";"U$S 84.66"
"16-02-06";"Buenos Aires";"Maiz";"U$S 83.14"
"28-02-06";"Buenos Aires";"Maiz";"U$S 79.7"
"01-03-06";"Buenos Aires";"Maiz";"U$S 79.86"
"09-03-06";"Buenos Aires";"Maiz";"U$S 77.85"
"14-03-06";"Buenos Aires";"Maiz";"U$S 78.02"
"21-03-06";"Buenos Aires";"Maiz";"U$S 75.8"
"23-03-06";"Buenos Aires";"Maiz";"U$S 74.7"
"11-04-06";"Buenos Aires";"Maiz";"U$S 84.5"
"18-04-06";"Buenos Aires";"Maiz";"U$S 83.71"
"02-05-06";"Buenos Aires";"Maiz";"U$S 85.39"
"10-05-06";"Buenos Aires";"Maiz";"U$S 83.88"
"11-05-06";"Buenos Aires";"Maiz";"U$S 86.35"
"15-05-06";"Buenos Aires";"Maiz";"U$S 88.79"
"16-05-06";"Buenos Aires";"Maiz";"U$S 88.76"
"17-05-06";"Buenos Aires";"Maiz";"U$S 89.24"
"30-05-06";"Buenos Aires";"Maiz";"U$S 86.46"
"07-06-06";"Buenos Aires";"Maiz";"U$S 85.01"
"16-06-06";"Buenos Aires";"Maiz";"U$S 85.09"
"20-06-06";"Buenos Aires";"Maiz";"U$S 82.85"
"22-06-06";"Buenos Aires";"Maiz";"U$S 85.45"
"23-06-06";"Buenos Aires";"Maiz";"U$S 84.39"
"29-06-06";"Buenos Aires";"Maiz";"U$S 84.2"
"03-07-06";"Buenos Aires";"Maiz";"U$S 87.29"
"06-07-06";"Buenos Aires";"Maiz";"U$S 88.24"
"10-07-06";"Buenos Aires";"Maiz";"U$S 88.79"
"11-07-06";"Buenos Aires";"Maiz";"U$S 88.72"
"12-07-06";"Buenos Aires";"Maiz";"U$S 89.78"
"13-07-06";"Buenos Aires";"Maiz";"U$S 87.55"
"14-07-06";"Buenos Aires";"Maiz";"U$S 87.58"
"17-07-06";"Buenos Aires";"Maiz";"U$S 87.28"
"18-07-06";"Buenos Aires";"Maiz";"U$S 85.3"
"20-07-06";"Buenos Aires";"Maiz";"U$S 85.98"
"21-07-06";"Buenos Aires";"Maiz";"U$S 84.36"
"28-07-06";"Buenos Aires";"Maiz";"U$S 86.12"
"31-07-06";"Buenos Aires";"Maiz";"U$S 86.26"
"02-08-06";"Buenos Aires";"Maiz";"U$S 87.92"
"03-08-06";"Buenos Aires";"Maiz";"U$S 87.95"
"04-08-06";"Buenos Aires";"Maiz";"U$S 87"
"04-09-06";"Buenos Aires";"Maiz";"U$S 85.65"
"18-09-06";"Buenos Aires";"Maiz";"U$S 87.8"
"19-09-06";"Buenos Aires";"Maiz";"U$S 87.18"
"20-09-06";"Buenos Aires";"Maiz";"U$S 87.15"
"22-09-06";"Buenos Aires";"Maiz";"U$S 90.35"
"27-09-06";"Buenos Aires";"Maiz";"U$S 91.88"
"28-09-06";"Buenos Aires";"Maiz";"U$S 93.43"
"19-10-06";"Buenos Aires";"Maiz";"U$S 107.48"
"01-11-06";"Buenos Aires";"Maiz";"U$S 119.86"
"05-04-07";"Buenos Aires";"Maiz";"U$S 114.52"
"30-04-07";"Buenos Aires";"Maiz";"U$S 110.03"
"03-05-07";"Buenos Aires";"Maiz";"U$S 115.11"
"10-05-07";"Buenos Aires";"Maiz";"U$S 110.35"
"11-06-07";"Buenos Aires";"Maiz";"U$S 120.33"
"12-06-07";"Buenos Aires";"Maiz";"U$S 118.74"
"13-06-07";"Buenos Aires";"Maiz";"U$S 124.63"
"14-06-07";"Buenos Aires";"Maiz";"U$S 126.95"
"15-06-07";"Buenos Aires";"Maiz";"U$S 128.37"
"20-06-07";"Buenos Aires";"Maiz";"U$S 121.79"
"21-06-07";"Buenos Aires";"Maiz";"U$S 118.43"
"26-06-07";"Buenos Aires";"Maiz";"U$S 111.72"
"28-06-07";"Buenos Aires";"Maiz";"U$S 110.03"
"05-07-07";"Buenos Aires";"Maiz";"U$S 103.13"
"06-07-07";"Buenos Aires";"Maiz";"U$S 106.28"
"11-07-07";"Buenos Aires";"Maiz";"U$S 109.64"
"12-07-07";"Buenos Aires";"Maiz";"U$S 111.29"
"25-07-07";"Buenos Aires";"Maiz";"U$S 108.49"
"27-07-07";"Buenos Aires";"Maiz";"U$S 113.86"
"30-07-07";"Buenos Aires";"Maiz";"U$S 113.64"
"31-07-07";"Buenos Aires";"Maiz";"U$S 113.1"
"02-08-07";"Buenos Aires";"Maiz";"U$S 114.72"
"03-08-07";"Buenos Aires";"Maiz";"U$S 114.65"
"06-08-07";"Buenos Aires";"Maiz";"U$S 116.24"
"21-09-07";"Buenos Aires";"Maiz";"U$S 128.78"
"24-09-07";"Buenos Aires";"Maiz";"U$S 128.78"
"25-09-07";"Buenos Aires";"Maiz";"U$S 127.11"
"26-09-19";"Buenos Aires";"Maiz";"U$S 139.5"
"29-07-20";"Buenos Aires";"Maiz";"U$S 204.99"
"05-08-20";"Buenos Aires";"Maiz";"U$S 206.55"
"05-10-20";"Buenos Aires";"Maiz";"U$S 220.6"
"30-06-21";"Buenos Aires";"Maiz";"U$S 202.67"
"10-02-22";"Buenos Aires";"Maiz";"U$S 269.49"
"30-09-24";"Buenos Aires";"Maiz";"U$S 185.47"
"02-07-14";"Córdoba";"Maiz";"U$S 254.12"
"17-10-17";"Córdoba";"Maiz";"U$S 161.23"
"22-10-19";"Córdoba";"Maiz";"U$S 150.98"
"30-12-04";"Rosario";"Maiz";"U$S 63.87"
"03-01-05";"Rosario";"Maiz";"U$S 62.3"
"04-01-05";"Rosario";"Maiz";"U$S 62.63"
"05-01-05";"Rosario";"Maiz";"U$S 62.9"
"07-01-05";"Rosario";"Maiz";"U$S 63.97"
"10-01-05";"Rosario";"Maiz";"U$S 62.33"
"11-01-05";"Rosario";"Maiz";"U$S 60.79"
"12-01-05";"Rosario";"Maiz";"U$S 59.66"
"13-01-05";"Rosario";"Maiz";"U$S 59.59"
"14-01-05";"Rosario";"Maiz";"U$S 57.83"
"17-01-05";"Rosario";"Maiz";"U$S 57"
"18-01-05";"Rosario";"Maiz";"U$S 58.39"
